,adeop1,adeop2,lysop1,lysop2,adewt1,adewt2,lyswt1,lyswt2,glucose,adenine,lysine
114,35,61,27,88,179,165,124,159,6893.206707525838,9003.028795675655,6383.887039087925
115,35,61,27,88,182,166,126,159,6893.206707525838,9003.028795675655,6383.887039087925
116,35,61,27,88,183,168,128,163,6893.206707525838,9003.028795675655,6383.887039087925
117,35,61,27,89,184,174,128,163,6893.206707525838,9003.028795675655,6383.887039087925
118,35,61,27,90,188,174,129,165,6893.206707525838,9003.028795675655,6383.887039087925
119,36,61,27,92,189,175,130,165,6893.206707525838,9003.028795675655,6383.887039087925
120,36,61,27,94,191,177,131,167,6893.206707525838,9003.028795675655,6383.887039087925
121,37,62,27,94,192,180,133,167,6893.206707525838,9003.028795675655,6383.887039087925
122,37,64,27,95,196,182,137,169,6893.206707525838,9003.028795675655,6383.887039087925
123,38,65,27,95,197,185,139,170,6893.206707525838,9003.028795675655,6383.887039087925
124,38,65,27,95,198,185,141,175,6893.206707525838,9003.028795675655,6383.887039087925
125,38,65,27,96,200,187,146,178,6893.206707525838,9003.028795675655,6383.887039087925
126,38,65,27,97,201,187,147,181,6893.206707525838,9003.028795675655,6383.887039087925
127,38,65,28,97,202,189,151,184,6893.206707525838,9003.028795675655,6383.887039087925
128,39,65,28,98,202,190,151,185,6893.206707525838,9003.028795675655,6383.887039087925
129,39,65,28,99,203,192,152,186,6893.206707525838,9003.028795675655,6383.887039087925
130,39,65,28,100,203,193,152,187,6893.206707525838,9003.028795675655,6383.887039087925
131,39,66,28,101,205,194,153,189,6893.206707525838,9003.028795675655,6383.887039087925
132,41,66,28,103,205,195,153,192,6893.206707525838,9003.028795675655,6383.887039087925
133,40,66,27,104,207,196,155,193,6893.206707525838,9003.028795675655,6383.887039087925
134,40,66,28,104,209,199,156,195,6893.206707525838,9003.028795675655,6383.887039087925
135,41,66,28,106,209,198,156,195,6893.206707525838,9003.028795675655,6383.887039087925
136,41,66,28,108,210,199,158,197,6893.206707525838,9003.028795675655,6383.887039087925
137,41,67,30,109,211,200,159,197,6893.206707525838,9003.028795675655,6383.887039087925
138,41,66,30,109,212,199,160,197,6893.206707525838,9003.028795675655,6383.887039087925
